Poor Error Handling: Overly Broad Throws,testcases/CWE319_Cleartext_Tx_Sensitive_Info/CWE319_Cleartext_Tx_Sensitive_Info__connect_tcp_passwordAuth_75a_28397.java,36
Poor Error Handling: Overly Broad Throws,testcases/CWE369_Divide_by_Zero/s01/CWE369_Divide_by_Zero__float_Property_modulo_75a_4759.java,31
Poor Error Handling: Overly Broad Throws,testcases/CWE400_Resource_Exhaustion/s01/CWE400_Resource_Exhaustion__File_for_loop_53c_4362.java,25
Poor Error Handling: Overly Broad Throws,testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__Property_66a_35421.java,41
Poor Error Handling: Overly Broad Throws,testcases/CWE789_Uncontrolled_Mem_Alloc/s03/CWE789_Uncontrolled_Mem_Alloc__URLConnection_ArrayList_74b_23363.java,37
Poor Error Handling: Overly Broad Throws,testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__listen_tcp_54d_3348.java,32
Poor Error Handling: Overly Broad Throws,testcases/CWE369_Divide_by_Zero/s01/CWE369_Divide_by_Zero__float_connect_tcp_modulo_81_base_25694.java,23
Poor Error Handling: Overly Broad Throws,testcases/CWE259_Hard_Coded_Password/CWE259_Hard_Coded_Password__kerberosKey_71a_7389.java,38
Poor Error Handling: Overly Broad Throws,testcases/CWE369_Divide_by_Zero/s01/CWE369_Divide_by_Zero__float_console_readLine_modulo_53d_27447.java,33
Poor Error Handling: Overly Broad Throws,testcases/CWE400_Resource_Exhaustion/s01/CWE400_Resource_Exhaustion__database_write_53a_28388.java,34
Poor Error Handling: Overly Broad Throws,testcases/CWE400_Resource_Exhaustion/s02/CWE400_Resource_Exhaustion__sleep_listen_tcp_68b_10575.java,43
Poor Error Handling: Overly Broad Throws,testcases/CWE369_Divide_by_Zero/s03/CWE369_Divide_by_Zero__int_random_divide_73a_32907.java,66
Poor Error Handling: Overly Broad Throws,testcases/CWE369_Divide_by_Zero/s01/CWE369_Divide_by_Zero__float_console_readLine_modulo_68b_20763.java,34
Poor Error Handling: Overly Broad Throws,testcases/CWE400_Resource_Exhaustion/s01/CWE400_Resource_Exhaustion__connect_tcp_for_loop_71b_32915.java,55
Poor Error Handling: Overly Broad Throws,testcases/CWE400_Resource_Exhaustion/s01/CWE400_Resource_Exhaustion__database_write_52a_37345.java,117
Poor Error Handling: Overly Broad Throws,testcases/CWE319_Cleartext_Tx_Sensitive_Info/CWE319_Cleartext_Tx_Sensitive_Info__URLConnection_passwordAuth_53b_1083.java,24
Poor Error Handling: Overly Broad Throws,testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__File_54b_7632.java,32
Poor Error Handling: Overly Broad Throws,testcases/CWE369_Divide_by_Zero/s02/CWE369_Divide_by_Zero__int_connect_tcp_modulo_67a_22005.java,146
Poor Error Handling: Overly Broad Throws,testcases/CWE321_Hard_Coded_Cryptographic_Key/CWE321_Hard_Coded_Cryptographic_Key__basic_74a_22176.java,32
Poor Error Handling: Overly Broad Throws,testcases/CWE400_Resource_Exhaustion/s03/CWE400_Resource_Exhaustion__URLConnection_write_54c_4398.java,37
Poor Error Handling: Overly Broad Throws,testcases/CWE369_Divide_by_Zero/s02/CWE369_Divide_by_Zero__int_connect_tcp_modulo_22b_7087.java,25
Poor Error Handling: Overly Broad Throws,testcases/CWE476_NULL_Pointer_Dereference/CWE476_NULL_Pointer_Dereference__String_73a_29053.java,48
